admin3Name_en,admin3Name_ar,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ar,admin3AltName2_ar,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
Aintourine,عينطورين,33219,Aintourine,,,,,Zgharta,زغرتا,LB57,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ouajh El-Hajjar,وجه الحجر,34286,Ouajh El-Hajjar,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ouadi Faara,وادي فعرا,54151,Ouadi Faara,,,,,El Hermel, الهرمل,LB22,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Litige,,53001,Litige,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ras Baalbek Ech-Charqi,راس بعلبك الشرقي,53227,Ras Baalbek Ech-Charqi,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bziza,بزيزا,32121,Bziza,,,,,El Koura,الكورة,LB54,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Btaaboura,بتعبورة,32153,Btaaboura,,,,,El Koura,الكورة,LB54,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tourza,طورزا,36124,Tourza,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ain Aakrine,عين عكرين,32135,Ain Aakrine,,,,,El Koura,الكورة,LB54,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Dar Baaechtar,دار بعشتار,32131,Dar Baaechtar,,,,,El Koura,الكورة,LB54,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aabdine,عبدين بشري,36121,Aabdine,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Nabha Ed-Damdoum,نبحا,53271,Nabha Ed-Damdoum,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Fekehe,فاكهة,53214,Fekehe,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bhabbouch El-Koura,بحبوش ,32133,Bhabbouch El-Koura,,,,,El Koura,الكورة,LB54,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfarsghab,كفر صغاب,33223,Kfarsghab,,,,,Zgharta,زغرتا,LB57,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ijdaabrine,اجدعبرين,32157,Ijdaabrine,,,,,El Koura,الكورة,LB54,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bnehran,بنهران,32141,Bnehran,,,,,El Koura,الكورة,LB54,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Berhalioun,برحليون,36137,Berhalioun,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Maaysra El-Hermel,معيصرة,54167,Maaysra El-Hermel,,,,,El Hermel, الهرمل,LB22,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qnayouer,قنيور,36114,Qnayouer,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bane,بان,36147,Bane,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Rachkida,راشكيدا,34276,Rachkida,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Litige,حوارته,53002,Litige,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qatnaaoun,قرنعون,34283,Qatnaaoun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ouadi Qannoubine,وادي قنوبين,36141,Ouadi Qannoubine,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aabrine,عبرين,34269,Aabrine,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Batroun,بترون,34111,Batroun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Koubba,كوبا,34155,Koubba,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Beit Menzer,بيت منذر,36187,Beit Menzer,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfar Khollos,كفر خلص,34281,Kfar Khollos,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Metrit,متريت,36164,Metrit,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kaftoun,كفتون,32151,Kaftoun,,,,,El Koura,الكورة,LB54,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Halbata,حلباتا,53247,Halbata,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Billa,بلا,36117,Billa,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfar Hay,كفرحي,34271,Kfar Hay,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Majdel el-Koura,مجدل الكورة,32149,Majdel el-Koura,,,,,El Koura,الكورة,LB54,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Blaouza,بلوزا,36151,Blaouza,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Litige,,34001,Litige,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Boqsmaiya,بقسميا,34277,Boqsmaiya,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Deir Billa,ديربلا,34374,Deir Billa,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hadchit,حدشيت,36177,Hadchit,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Zgharta El-Mtaouile,زغرتا المتاولة,32195,Zgharta El-Mtaouile,,,,,El Koura,الكورة,LB54,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qnat,قناة,36127,Qnat,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bijdarfil,بجدرفل,34264,Bijdarfil,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Harabta,حربتا,53264,Harabta,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hadath Ej-Jebbeh,حدث الجبه,36131,Hadath Ej-Jebbeh,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ijdabra,اجدبرا,34266,Ijdabra,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ouadi El-Aaoss,وادي القصص,54183,Ouadi El-Aaoss,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Jebla,جبلا,34274,Jebla,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mazraat Aassaf,مزرعة عساف,36144,Mazraat Aassaf,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mazraat Bani Saab,مزرعة بني صعب,36134,Mazraat Bani Saab,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kour,كور,34246,Kour,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Beit Kassab,بيت كسّاب,34371,Beit Kassab,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Zabboud,زبود,53237,Zabboud,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Dimane,ديمان,36161,Dimane,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Helta,حلتا ,34267,Helta,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hasroun,حصرون,36171,Hasroun,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Daael,داعل,34279,Daael,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Sourat El-Batroun,صورات,34261,Sourat El-Batroun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hardine,حردين,34361,Hardine,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Basbina,بسبينا,34249,Basbina,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Harbouna,حربونا,34253,Harbouna,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bazaaoun,بزعون,36181,Bazaaoun,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfar Aabida,كفر عبيدا,34144,Kfar Aabida,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bqerqacha,بقرقاشا,36184,Bqerqacha,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Breissat,بريسات,36157,Breissat,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Edde El-Batroun,إده البترون,34259,Edde El-Batroun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfar Hilda,كفر حلدا,34336,Kfar Hilda,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bechtoudar,بشتودار,34331,Bechtoudar,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kharayeb El-Hermel,الخرائب,54175,Kharayeb El-Hermel,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfifane,كفيفان,34233,Kfifane,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Litige,,34002,Litige,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Beit Chlala,بيت شلالا,34321,Beit Chlala,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aartiz,عرطز,34251,Aartiz,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Niha El-Batroun,نيحا البترون,34376,Niha El-Batroun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bqaa Kafra,بقاع كفرا,36191,Bqaa Kafra,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Assia,اسيا,34263,Assia,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfar Hatna,كفرحتنا,34241,Kfar Hatna,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Deir Kfifane,دير كفيفان,34223,Deir Kfifane,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfarb Shlaimane,كفر شليمان,34257,Kfarb Shlaimane,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bajjaje,بجاجة,53221,Bajjaje,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ftahat El-Batroun,فتاحات,34244,Ftahat El-Batroun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aain Baalbek,العين,53217,Aain Baalbek,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Jrane El-Batroun,جران ,34234,Jrane El-Batroun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Nabi Osmane,نبي عثمان,53224,Nabi Osmane,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mrah Chdid,مراح شديد,34256,Mrah Chdid,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aaynata Baalbek,عيناتا,53377,Aaynata Baalbek,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Zaneh,زان,34243,Zaneh,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfour El-Aarbi,كفور العربي,34341,Kfour El-Aarbi,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Sbouba,صبوبا,53261,Sbouba,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Smar Jbayl,سمار جبيل,34239,Smar Jbayl,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aarsal,عرسال,53231,Aarsal,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mrah Ez Ziyat,مراح الزيات,34229,Mrah Ez Ziyat,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Chibtine,شبطين ,34221,Chibtine,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Rachana,راشانا,34122,Rachana,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Deir Mar Youhanna EL-Batroun,دير مار يوحنا دوما,34326,Deir Mar Youhanna EL-Batroun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Thoum,تحوم,34133,Thoum,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Nahleh El-Batroun,نحلا  البترون,34273,Nahleh El-Batroun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ghouma,غوما,34231,Ghouma,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Laboueh,لبوة,53234,Laboueh,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Daraya El-Batroun,دريا ,34215,Daraya El-Batroun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
AAbdelli,عبدللي,34217,AAbdelli,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Douma,دوما,34311,Douma,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bcheaali,بشعلة,34316,Bcheaali,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tannourine El-Faouqa,تنورين الفوقا,34386,Tannourine El-Faouqa,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tannourine Et-Tahta,تنورين التحتا,34356,Tannourine Et-Tahta,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Deir Mar Youssef Jrabta,دير مار يوسف جربتا ,34227,Deir Mar Youssef Jrabta,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mrah El-Hajj,مراح الحاج,34254,Mrah El-Hajj,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Toula El-Batroun,تولا,34212,Toula El-Batroun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aalali,علالي,34237,Aalali,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mchaa Ej-Jibbé,مشاع الجبه,36110,Mchaa Ej-Jibbe,,,,,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Fghal,فغال,26298,Fghal,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Sghar,صغار,34224,Sghar,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Jrabta El-Batroun,جربتا,34219,Jrabta El-Batroun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfar Kiddeh,كفر كده,26189,Kfar Kiddeh,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Berbara Jbayl,بربارة,26183,Berbara Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Barqa,برقا,53344,Barqa,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Racha,راشا,34247,Racha,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Maad,معاد,26293,Maad,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Chmout,شموت,26296,Chmout,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ouata Houb,وطى حوب,34381,Ouata Houb,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Douq,دوق,34218,Douq,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mehmarch,محمرش,34236,Mehmarch,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hadtoun,حدتون,34351,Hadtoun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Chatine,شاتين,34366,Chatine,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mayfouq,ميفوق,26257,Mayfouq,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aain Kfaa,عين كفاع,26289,Aain Kfaa,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bekhaaz,بخعاز,26297,Bekhaaz,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bejjeh,بجه,26276,Bejjeh,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Dahr Abi Yaghi,ضهر ابي ياغي,34211,Dahr Abi Yaghi,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tartij,ترتج,26384,Tartij,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mar Mama,مار ماما,34226,Mar Mama,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Masrah,مسرح,34214,Masrah,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mounsef,المنصف,26177,Mounsef,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ram El-Batroun,الرام البترون,34346,Ram El-Batroun,,,,,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Gharzouz,غرزوز,26294,Gharzouz,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ram Baalbek,الرام,53281,Ram Baalbek,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qottara Jbayl,قطارة,26251,Qottara Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kharbet Jbayl,خاربة جبيل,26249,Kharbet Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ghalboun,غلبون,26277,Ghalboun,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Chikhane,شيخان,26295,Chikhane,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Moqraq,المقرق,53251,Moqraq,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Jaj,جاج,26381,Jaj,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Rihanet Jbayl,ريحانة,26159,Rihanet Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Lehfed,لحفد,26233,Lehfed,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Haqel,حقل,26247,Haqel,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hsarat,حصارات,26286,Hsarat,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hasrayel,حصرايل,26153,Hasrayel,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Chamate,شامات,26279,Chamate,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aabaydat,عبيدات,26256,Aabaydat,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Jeoddayel Jbayl,جدايل,26165,Jeoddayel Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qarha Baalbek,قرحا,53277,Qarha Baalbek,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Chaat,شعت,53274,Chaat,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Yammouneh,يمونة,53388,Yammouneh,,,,,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aamchit,عمشيت,26141,Aamchit,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ramout,الراموط,26261,Ramout,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Beit Habbaq,بيت حبّاق,26271,Beit Habbaq,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
